668-603562189564219392	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603566180570243072	RT WLBMILLERTV This woman in meyerland describes what it was like to watch her couch float houstonflood MyFoxHouston 
668-603566204138192897	Lets keep praying for those affected by the houstonflood httpstcoBtitTnJL2v
668-603566212694421504	RT bytemeorg HoustonChron has some amazing pictures of the houstonflood in this article 
668-603566227479400448	Mightier than the thunders of many waters mightier than the waves of the sea the Lord on high is mighty  Psalm 934 houstonflood
668-603566247649783809	RT UTProbs Prayers for HTown HoustonFlood 
668-603566253622591488	stay safe and dry Houston houstonflood
668-603566267807571969	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603566291438342144	RT IndyUSA HoustonFlood Photos of the historic and devastating weather that rocked Texas 
668-603566295523565568	RT CajunAngela HoustonFlood CaliforniaDrought 
668-603566310602117121	RT Duracell Houston amp San Marcos were coming wFREE batteries amp mobile charging to help those impacted by the houstonflood 
668-603566316058877952	RT bootwearinwife I cant houstonflood texaslife 
668-603566348359327744	RT DFWALERTS Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  t
668-603566349131116544	RT DFWALERTS Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  t
668-603566354810146816	Drone video from a friend of houstonflood yesterday 
668-603566383352291328	RT jwharris Updated map of Texas txflood ctxwx houstonflood 
668-603566407045885955	Good grief I keep thinking about that old saying Ill be there if the creek dont rise Lots of people wont be there houstonflood
668-603566414260142080	RT Duersharpswac Praying for our SWAC Family amp friends in Houston HoustonFlood
668-603566425073000448	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603566432295776256	RT thetiffanyterry FactsAboutTexas This is 145  N Main right now houstonflood  Damn 
668-603566442936668160	RT StationCDRKelly Hard to imagine this underwater My thoughts are w those affected by the floods back home Stay safe HoustonFlood ht
668-603566481633189889	I need to get my nails done and continue to treat myself after working hard this semester But the weather trying it though  houstonflood
668-603566491661774849	Its a random vacation day from work now considering the roads are all flooded houstonflood abc13eyewitness cypresscreek
668-603566516185866240	 QueensSpeech CharlieCharlie houstonflood StateofOrigin BeyonceAlwaysOnBeat Periscope
668-603566532514328577	RT TheBoobTuber Im afraid to complain about the rain bc come August we may be begging for it houstonflood
668-603566541683044353	All of these weather forecast are very in accurate im worried now HoustonFlood
668-603566564445593600	Info on our plan during a storm tips on managing chronic disease amp diet restrictions during heavy rain  houstonflood
668-603566580954345473	RT weatherchannel 640aCT Flash Flood Warnings in TX including Houston amp Severe Warnings from Beaumont to Alexandria houstonflood h
668-603566611803426817	RT the8bitericshow Sigga TALES HOUSTONFLOOD SIGGAS 
668-603566629956497408	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603566633798520832	RT austinwm11 A mf casket washed up on the side of the road  houstonflood
668-603566656271421440	RT malatorre Gente que cay en las aguas crecidas por tratar de salvar a otros hasta ahora van 4 muertos por esa causa Houston houston
668-603566662764384256	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603566671878467585	If we in Houston start growing fins dont be alarmed Its a survival tactic houstonflood
668-603566718942720000	 QueensSpeech CharlieCharlie FIFA MemorialDay 5WordWeddingToast houstonflood origin
668-603566721295884288	RT Readygov Get flood safety tips weather alerts amp shelter locations on the FEMA app httpstco9VtEJ9XSEp HoustonFlood txwx
668-603566746742587393	So this was Monday night  abc13houston houstonflood 
668-603566785724461056	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603566786819194880	Are you still without power in Houston LosDez houstonflood KHOULily KHOU
668-603566802845609984	RT CorpChapAmerica Lets keep praying for those affected by the houstonflood httpstcoBtitTnJL2v
668-603566833791311872	Praying for my family amp friends in Houston amp Texas affected by the TexasFlood HoustonFlood Flood Stay safe stay strong
668-603566853240172546	RT rachelgarcia91 Mightier than the thunders of many waters mightier than the waves of the sea the Lord on high is mighty  Psalm 934
668-603566853374353408	RT JoelOsteen There will be storms in life but they are only temporary Praying for our friends in Houston and Texas HoustonFlood
668-603566894344491008	RT 10NewsPhillips If youre looking for loved one in HoustonFlood go to RedCross Safe and Well registry   or cal
668-603566915026493441	RT AWerkenthin Rain rain go away come again to California they need it we dont houstonflood
668-603566921347244034	RT YahooNews 30 now missing in Central Texas floods  
668-603566948186607616	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603566954671046656	Just want to stay in pjs drink coffee and troll Is that wrong houstonflood part deaux
668-603566982382813184	RT weatherchannel Houston continues to get pounded by rain after massive flooding TUE Latest  houstonflood htt
668-603567011545927682	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603567025798057985	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603567031472902145	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603567043724484609	 QueensSpeech CharlieCharlie FIFA MemorialDay 5WordWeddingToast houstonflood ICanDo
668-603567049911234561	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603567052796792832	RT FBCSO In case you need a reminder of why you should keep your kids out of the flood waters HoustonFlood 
668-603567061349040129	In case you missed our pic Taken at 230am Video tonight on our live online show houstonflood abc13eyewitness  httpstco0MkTbtH3uI
668-603567065769746434	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603567068928081920	RT ashpxoxo This aint nothing but the devils work houstonflood 
668-603567077060845569	8 months after the Houston Mayor attacked Christians Houston got floodedhoustonflood 
668-603567109868789760	Development in harms way a major driver in houstonflood  Excellent perspective from Revkin
668-603567139748872192	RT Bipartisanism Sometimes you have to wonder if God pays closer attention than we think TexasFlood HoustonFlood 
668-603567161425006592	 QueensSpeech CharlieCharlie FIFA MemorialDay 5WordWeddingToast Origin houstonflood
668-603567172896456706	RT Cal1M1ke On our way to get some food In Houston like cx houstonflood 
668-603567175006232577	RT ShaughnA Drone video shows massive HoustonFlood via ABC13Houston 
668-603567224645787648	Flood Warning for Cypress Creek  Huffmeister amp StuebnerAirline houstonflood houwx  
668-603567238784786432	RT CapitalFMkenya Houston submerged as wild weather kills 20 in US Mexico houstonflood  
668-603567242052243456	RT ShaughnA Drone video shows massive HoustonFlood via ABC13Houston 
668-603567246506651650	ICYMI Colin Kaepernicks IG post about the houstonflood was just plain   
668-603567255364894721	RT KimEllis58 Just want to stay in pjs drink coffee and troll Is that wrong houstonflood part deaux
668-603567336893841409	Houstons I45 in the front page of The Washington Post houstonflood 
668-603567339489996800	The HoustonFlood continues to pester us all Heres another roundup of things you need to know 
668-603567341704642560	Progress  Last pic is Louie loving hotel life HoustonFlood abc13houston overthishoustonflood 
668-603567345508818944	 QueensSpeech CharlieCharlie FIFA MemorialDay 5WordWeddingToast houstonflood UELfinal
668-603567351628431360	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603567372109225984	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603567373967306752	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603567392703131648	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoetqijea4L0
668-603567397635764224	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcoetqije
668-603567407710343168	RT THANKTEXAS April showers bring May flooding HoustonFlood
668-603567414626754560	RT UTProbs Prayers for HTown HoustonFlood 
668-603567425263505408	RT AlexGreen713 UNBELIEVABLE photo that came to news station North Freeway at North Main HoustonFlood 
668-603567449556922370	RT UTProbs Highways today in HoustonHoustonFlood PrayForHTown 
668-603567453214486530	RT GovtsTheProblem 8 months after the Houston Mayor attacked Christians Houston got floodedhoustonflood 
668-603567469626720256	RT HoustonOEM Flood Warning for Cypress Creek  Huffmeister amp StuebnerAirline houstonflood houwx  
668-603567471669350400	 QueensSpeech CharlieCharlie FIFA MemorialDay 5WordWeddingToast houstonflood YoastCon
668-603567478921306112	Attention national media the HoustonFlood and floods in central Texas are 2 different things Same state different areas Look at a map
668-603567518129618945	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-603567524232331264	RT Duracell Houston amp San Marcos were coming wFREE batteries amp mobile charging to help those impacted by the houstonflood 
668-603567539214393345	Feeling kinda blessed that I was able to leave houston before that flood Yall hold it diiiine houstonflood FuckSauceWalka
668-603567560425111552	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603567575864344577	RT blkahn Development in harms way a major driver in houstonflood  Excellent perspective from Revkin
668-603567580792492032	Were hoping everyone is safe out there 8 JawDropping Images from the HoustonFlood Nightmare via weatherchannel 
668-603567583397171200	RT MyPresidentPK In case you missed our pic Taken at 230am Video tonight on our live online show houstonflood abc13eyewitness  http
668-603567595703312386	 QueensSpeech CharlieCharlie FIFA MemorialDay 5WordWeddingToast houstonflood txlege
668-603567603924078593	RT CBSNews WATCH NOW Drone captures HoustonFlood gives aerial view of damage in Texas   CBSNLive 
668-603567606998568962	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603567692319096832	RT WhiteboyChris Im at the stage of this storm where buying a boat makes more sense than keeping my car houstonflood 
668-603567692335853568	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603567700397326336	RT HoustonOEM Flood Warning for Cypress Creek  Huffmeister amp StuebnerAirline houstonflood houwx  
668-603567705413652480	RT KalaBabu08 Boss asked so you still coming in houstonflood 
668-603567708244873216	MyFoxHouston because of the houstonflood we have a shortage of Meals on Wheels drivers We need volunteers7135334989 Please spread
668-603567708425363456	Houston has a flood and they made the rest of the series in GS arena because they have to clean up da arena in Houston HoustonFlood
668-603567716339884033	 QueensSpeech CharlieCharlie FIFA MemorialDay 5WordWeddingToast houstonflood RHONY
668-603567749424664578	RT  CBS News CBSNews WATCH NOW Drone captures HoustonFlood gives aerial view of damage in Texas  
668-603567750754140162	RT KidCarlton13 Sigga TALES HOUSTONFLOOD SIGGAS 
668-603567761265065985	RT HTCAshleyS Pray for our city Pray for our state Houston HoustonFlood Flooding Texas TexansCheer 
668-603567789178097664	RT Duracell Houston amp San Marcos were coming wFREE batteries amp mobile charging to help those impacted by the houstonflood 
668-603567796199399424	Part 1 After 5 floods my parents werent prepared houstonflood MyFoxHouston 
668-603567825936977920	RT HoustonOEM Flood Warning until Monday afternoon for San Jacinto River near Sheldon houstonflood houwx  http
668-603567860275744769	RT BrotherJesse I dont remember it flooding like this during Hurricane Ike houstonflood  httpstcoVzY97RhRz6
668-603567862465171457	 QueensSpeech CharlieCharlie FIFA MemorialDay 5WordWeddingToast houstonflood estimates
668-603567867112525825	RT InterfaithMin MyFoxHouston because of the houstonflood we have a shortage of Meals on Wheels drivers We need volunteers71353349
668-603567869876707328	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603567885848481792	RT thetiffanyterry FactsAboutTexas This is 145  N Main right now houstonflood  Damn 
668-603567896229384192	RT teestarnes Drone video from a friend of houstonflood yesterday 
668-603567919788789762	KHOU  because of the houstonflood we have a shortage of Meals on Wheels drivers We need volunteers7135334989 Please spread
668-603567925677563904	SuperVan66 Rain rainPLEASE go away  Weve had enough SignedHouston Citizens houstonflood
668-603567930958184448	Part 2 After 5 floods my parents werent prepared houstonflood MyFoxHouston 
668-603567935915827201	RT WLBMILLERTV Part 1 After 5 floods my parents werent prepared houstonflood MyFoxHouston 
